Period Start,Period End,Beginning Inventory,Shipment,Transfer In,Transfer Out,RTV,Sales,Ending Inventory,Store
12/08/2023,27/08/2023,"3.343,00","111,00","0,00","48,00","8,00","194,00","3.204,00",MSI_ARTHA_GADING_MEN
28/08/2023,01/10/2023,"3.204,00","543,00","0,00","0,00","4,00","390,00","3.353,00",MSI_ARTHA_GADING_MEN
02/10/2023,29/10/2023,"3.353,00","290,00","0,00","0,00","46,00","328,00","3.269,00",MSI_ARTHA_GADING_MEN
30/10/2023,30/11/2023,"3.269,00","676,00","0,00","0,00","0,00","415,00","3.530,00",MSI_ARTHA_GADING_MEN
01/12/2023,31/12/2023,"3.530,00","590,00","0,00","0,00","0,00","746,00","3.374,00",MSI_ARTHA_GADING_MEN
01/01/2024,28/01/2024,"3.374,00","718,00","3,00","0,00","0,00","604,00","3.491,00",MSI_ARTHA_GADING_MEN
29/01/2024,25/02/2024,"3.491,00","882,00","0,00","4,00","295,00","378,00","3.696,00",MSI_ARTHA_GADING_MEN
26/02/2024,31/03/2024,"3.696,00","815,00","0,00","0,00","3,00","814,00","3.694,00",MSI_ARTHA_GADING_MEN
01/04/2024,28/04/2024,"3.694,00","187,00","0,00","0,00","0,00","668,00","3.213,00",MSI_ARTHA_GADING_MEN
29/04/2024,26/05/2024,"3.213,00","66,00","0,00","0,00","2,00","320,00","2.957,00",MSI_ARTHA_GADING_MEN
27/05/2024,30/06/2024,"2.957,00","1.269,00","0,00","0,00","0,00","565,00","3.661,00",MSI_ARTHA_GADING_MEN
01/07/2024,28/07/2024,"3.661,00","603,00","0,00","0,00","0,00","450,00","3.814,00",MSI_ARTHA_GADING_MEN
29/07/2024,26/08/2024,"3.814,00","170,00","0,00","0,00","387,00","292,00","3.305,00",MSI_ARTHA_GADING_MEN
26/08/2024,11/09/2024,"3.305,00","425,00","0,00","0,00","0,00","185,00","3.545,00",MSI_ARTHA_GADING_MEN
16/08/2023,27/08/2023,"2.531,00","17,00","0,00","0,00","6,00","68,00","2.474,00",SOGO_CENTRAL_PARK
28/08/2023,01/10/2023,"2.474,00","258,00","0,00","8,00","0,00","159,00","2.565,00",SOGO_CENTRAL_PARK
02/10/2023,29/10/2023,"2.565,00","77,00","0,00","0,00","0,00","120,00","2.522,00",SOGO_CENTRAL_PARK
30/10/2023,30/11/2023,"2.522,00","151,00","0,00","0,00","6,00","170,00","2.497,00",SOGO_CENTRAL_PARK
